24.0,95.0,56.0,91.0,70.0,25.0,64.0,79.0,98.0,25.0,57.0,45.0,54.0,69.0,62.0,68.0,89.0,77.0,44.0,61.0,85.0,82.0,97.0,73.0,93.0,36.0,26.0,65.0,88.0,82.0,94.0,59.0,58.0,94.0,68.0,87.0,70.0,30.0,66.0,25.0
62.0,30.0,45.0,77.0,22.0,20.0,83.0,66.0,53.0,71.0,63.0,32.0,22.0,98.0,52.0,43.0,94.0,49.0,74.0,83.0,28.0,36.0,61.0,22.0,55.0,24.0,55.0,68.0,32.0,29.0,39.0,30.0,61.0,31.0,90.0,47.0,63.0,25.0,33.0,94.0
49.0,83.0,55.0,63.0,21.0,22.0,81.0,75.0,20.0,68.0,25.0,96.0,64.0,47.0,28.0,32.0,77.0,79.0,71.0,83.0,84.0,81.0,98.0,99.0,88.0,47.0,49.0,75.0,68.0,47.0,94.0,68.0,60.0,40.0,34.0,68.0,45.0,34.0,33.0,66.0
51.0,49.0,20.0,94.0,20.0,98.0,90.0,27.0,23.0,33.0,42.0,59.0,54.0,64.0,49.0,61.0,91.0,32.0,84.0,50.0,50.0,61.0,57.0,28.0,26.0,43.0,77.0,96.0,44.0,45.0,91.0,85.0,95.0,73.0,88.0,27.0,21.0,22.0,68.0,75.0
96.0,99.0,43.0,46.0,39.0,95.0,98.0,73.0,52.0,65.0,39.0,86.0,80.0,98.0,95.0,36.0,26.0,67.0,28.0,24.0,34.0,44.0,91.0,60.0,45.0,63.0,31.0,30.0,23.0,64.0,55.0,22.0,78.0,96.0,48.0,47.0,65.0,28.0,66.0,33.0
22.0,57.0,48.0,53.0,67.0,93.0,36.0,95.0,81.0,64.0,69.0,68.0,96.0,72.0,20.0,87.0,40.0,68.0,54.0,85.0,93.0,95.0,43.0,51.0,96.0,98.0,25.0,77.0,89.0,50.0,33.0,43.0,35.0,72.0,64.0,81.0,96.0,44.0,25.0,75.0
24.0,98.0,29.0,29.0,85.0,42.0,93.0,20.0,22.0,95.0,91.0,66.0,80.0,68.0,20.0,70.0,22.0,56.0,46.0,85.0,47.0,35.0,97.0,30.0,75.0,61.0,30.0,69.0,89.0,84.0,85.0,21.0,96.0,88.0,75.0,89.0,43.0,60.0,22.0,57.0
63.0,70.0,63.0,70.0,84.0,39.0,78.0,70.0,41.0,36.0,63.0,62.0,29.0,25.0,56.0,90.0,45.0,44.0,42.0,93.0,68.0,64.0,86.0,76.0,62.0,71.0,93.0,60.0,46.0,30.0,20.0,22.0,36.0,32.0,64.0,68.0,73.0,24.0,98.0,44.0
67.0,38.0,21.0,75.0,96.0,52.0,71.0,38.0,64.0,90.0,24.0,87.0,60.0,80.0,64.0,55.0,60.0,71.0,46.0,73.0,28.0,80.0,67.0,60.0,28.0,92.0,65.0,54.0,45.0,60.0,33.0,47.0,27.0,84.0,54.0,97.0,94.0,29.0,42.0,81.0
37.0,31.0,86.0,28.0,63.0,25.0,96.0,23.0,58.0,26.0,66.0,66.0,72.0,26.0,49.0,66.0,48.0,43.0,69.0,73.0,37.0,70.0,76.0,90.0,32.0,85.0,60.0,66.0,68.0,92.0,57.0,24.0,23.0,88.0,76.0,32.0,33.0,70.0,65.0,71.0
